url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster,wait_time,cluster_size
https://github.com/collectd/collectd/commit/6ea5e41d656b162d8614cc1af3efd50ed5424950,17 Apr 2011,pf plugin: also support OpenBSD 4.9/Current,1038,data/crawl/collectd/hunk_197.cpp,,,data/crawl/collectd/old_hunk_197.cpp,data/crawl/collectd/new_hunk_197.cpp,-1,283,,"printf("" ("");","[""addLog""]","[[], [""printf""]]",[7237409554864562455],961,1959222.857142857,63
https://github.com/collectd/collectd/commit/3e394c1f397de774d4b33e9c29aab5676e5d8832,22 Apr 2011,pf plugin: define generation new/old depend on OpenBSD Version,2100,data/crawl/collectd/hunk_193.cpp,,,data/crawl/collectd/old_hunk_193.cpp,data/crawl/collectd/new_hunk_193.cpp,284,-1,"printf("" ("");",,"[""removeLog""]","[[""printf""], []]",[-7237409554864562455],960,0.0,62
https://github.com/collectd/collectd/commit/1e8a95944f39cf4d552f2afed8e26b93febd50ec,31 Dec 2016,"dpdkstat plugin rework

This patch contains rework of existing dpdkstat plugin. Changes are focused on
extracting common dpdk related features into utils file that could be reused by
other DPDK plugins. Also some related structural changes are introduced.

List of changes:
- introduction of new utils_dpdk.c that handles child process spawning,
  and terminating, messaging between parent and child, DPDK configuration
  and initialization and DPDK commands execution
- DPDK EAL specific options put into separate subsection of
  dpdkstat configuration
- documentation update

Those changes are preparatory steps for upstreaming dpdkevent plugin
that is going to collect DPDK ports and logical cores status info.

Signed-off-by: Krzysztof Matczak <krzysztofx.matczak@intel.com>",2068,data/crawl/collectd/hunk_54.cpp,,,data/crawl/collectd/old_hunk_54.cpp,data/crawl/collectd/new_hunk_54.cpp,-1,520,,"printf(""\n"");","[""addLog""]","[[], [""printf"", ""\\n""]]",[7249185625612668815],959,2268110.769230769,13
https://github.com/collectd/collectd/commit/6ea5e41d656b162d8614cc1af3efd50ed5424950,17 Apr 2011,pf plugin: also support OpenBSD 4.9/Current,1038,data/crawl/collectd/hunk_197.cpp,,,data/crawl/collectd/old_hunk_197.cpp,data/crawl/collectd/new_hunk_197.cpp,-1,823,,"printf("" = %s"", a1);","[""addLog""]","[[], [""printf"", ""%s"", ""a1""]]",[7254561657910717253],958,720.0,12
https://github.com/collectd/collectd/commit/3e394c1f397de774d4b33e9c29aab5676e5d8832,22 Apr 2011,pf plugin: define generation new/old depend on OpenBSD Version,2100,data/crawl/collectd/hunk_193.cpp,,,data/crawl/collectd/old_hunk_193.cpp,data/crawl/collectd/new_hunk_193.cpp,865,-1,"printf("" = %s"", a1);",,"[""removeLog""]","[[""printf"", ""%s"", ""a1""], []]",[-7254561657910717253],957,0.0,12
https://github.com/collectd/collectd/commit/a656aa08957763edbb36300688393382c7f7056a,19 Sep 2016,"dpdkstat: Addressed PR comments

1) Added missing option description
2) Replaced strerror with sstrerror
3) Do not return from helper code
4) Use generic collectd Interval implementation
5) Removed ""\n"" from log messages

Signed-off-by: Taras Chornyi <tarasx.chornyi@intel.com>",586,data/crawl/collectd/hunk_97.cpp,,,data/crawl/collectd/old_hunk_97.cpp,data/crawl/collectd/new_hunk_97.cpp,8,-1,"printf(""\n"");",,"[""removeLog""]","[[""printf"", ""\\n""], []]",[-7249185625612668815],956,1216368.0,10
https://github.com/collectd/collectd/commit/148087def9520d4bd4a343761defefa5d06a3215,18 May 2006,Added `apcups.c' by Anthony Gialluca <tonyabg at charter.net>,827,data/crawl/collectd/hunk_523.cpp,,,data/crawl/collectd/old_hunk_523.cpp,data/crawl/collectd/new_hunk_523.cpp,-1,490,,"fprintf(stdout,""  Value %s.\n"",tokptr);","[""addLog""]","[[], [""fprintf"", ""stdout"", ""Value"", ""%s"", ""\\n"", ""tokptr""]]",[-19795710462084339451],955,0.0,8
https://github.com/collectd/collectd/commit/6ea5e41d656b162d8614cc1af3efd50ed5424950,17 Apr 2011,pf plugin: also support OpenBSD 4.9/Current,1038,data/crawl/collectd/hunk_197.cpp,,,data/crawl/collectd/old_hunk_197.cpp,data/crawl/collectd/new_hunk_197.cpp,-1,572,,"printf(""%s"", buf);","[""addLog""]","[[], [""printf"", ""%s"", ""buf""]]",[7569169800143846097],954,720.0,8
https://github.com/collectd/collectd/commit/3e394c1f397de774d4b33e9c29aab5676e5d8832,22 Apr 2011,pf plugin: define generation new/old depend on OpenBSD Version,2100,data/crawl/collectd/hunk_193.cpp,,,data/crawl/collectd/old_hunk_193.cpp,data/crawl/collectd/new_hunk_193.cpp,554,-1,"printf(""%s"", buf);",,"[""removeLog""]","[[""printf"", ""%s"", ""buf""], []]",[-7569169800143846097],953,0.0,8
https://github.com/collectd/collectd/commit/1804ab004b8c7e14eac8c3a662747fbae4cf4aad,06 Nov 2017,"Auto-Merge pull request #2519 from octo/ff/strerror

Automatically merged due to ""Automerge"" label",1493,data/crawl/collectd/hunk_9.cpp,,,data/crawl/collectd/old_hunk_9.cpp,data/crawl/collectd/new_hunk_9.cpp,4,3,"fprintf(stderr, ""fork: %s"", sstrerror(errno, errbuf, sizeof(errbuf)));","fprintf(stderr, ""fork: %s"", STRERRNO);","[""updateVariable"", ""removeVariable""]","[[""sstrerror"", ""errno"", ""errbuf"", ""sizeof"", ""errbuf""], [""STRERRNO""]]",[22819257912299834821],952,1440.0,8
