url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster,wait_time,cluster_size
https://github.com/git/git/commit/fc045fe7d4fa220f19274715c936636fe0516ea3,13 Feb 2018,"Mark messages for translations

Small changes in messages to fit the style and typography of rest.
Reuse already translated messages if possible.
Do not translate messages aimed at developers of git.
Fix unit tests depending on the original string.
Use `test_i18ngrep` for tests with translatable strings.
Change and verify rest of tests via `make GETTEXT_POISON=1 test`.

Signed-off-by: Alexander Shopov <ash@kambanaria.org>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",108,data/crawl/git/hunk_72.cpp,use same text format,trivial,data/crawl/git/old_hunk_72.cpp,data/crawl/git/new_hunk_72.cpp,3,3,"fprintf(stderr, ""-c expects a configuration string\n"" );","fprintf(stderr, _(""-c expects a configuration string\n"" ));","[""addVariable""]","[[], [""_""]]",[12160036574],6568,946739.8715203427,467
https://github.com/git/git/commit/fc045fe7d4fa220f19274715c936636fe0516ea3,13 Feb 2018,"Mark messages for translations

Small changes in messages to fit the style and typography of rest.
Reuse already translated messages if possible.
Do not translate messages aimed at developers of git.
Fix unit tests depending on the original string.
Use `test_i18ngrep` for tests with translatable strings.
Change and verify rest of tests via `make GETTEXT_POISON=1 test`.

Signed-off-by: Alexander Shopov <ash@kambanaria.org>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",108,data/crawl/git/hunk_82.cpp,use same text format,trivial,data/crawl/git/old_hunk_82.cpp,data/crawl/git/new_hunk_82.cpp,3,3,"die(""unable to set up work tree using invalid config"");","(_(""unable to set up work tree using invalid config"");","[""addLog"", ""updateLog""]","[[""die""], [""_""]]",[1925086820363511413],6566,597559.2452830189,212
https://github.com/git/git/commit/7616c6ca9d3559a1768b7293c64c5a39e73bd365,09 May 2016,"sha1_file.c: use {error,die,warning}_errno()

Signed-off-by: Nguyễn Thái Ngọc Duy <pclouds@gmail.com>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",32,data/crawl/git/hunk_2022.cpp,use same variable,non-trivial,data/crawl/git/old_hunk_2022.cpp,data/crawl/git/new_hunk_2022.cpp,3,3,"die(""packfile %s cannot be mapped: %s"",
					p->pack_name,
					strerror(errno));","die_errno(""packfile %s cannot be mapped"",
					  p->pack_name);","[""updateLog"", ""removeVariable"", ""updateContent""]","[[""die"", ""%s"", ""strerror"", ""errno""], [""die_errno""]]",[-17402433408053273391],6565,72960.0,99
https://github.com/git/git/commit/55f5704da69d3e6836620f01bee0093ad5e331e8,09 Sep 2016,"sequencer: lib'ify checkout_fast_forward()

Instead of dying there, let the caller high up in the callchain
notice the error and handle it (by dying, still).

The only callers of checkout_fast_forward(), cmd_merge(),
pull_into_void(), cmd_pull() and sequencer's fast_forward_to(),
already check the return value and handle it appropriately. With this
step, we make it notice an error return from this function.

So this is a safe conversion to make checkout_fast_forward()
callable from new callers that want it not to die, without changing
the external behaviour of anything existing.

Signed-off-by: Johannes Schindelin <johannes.schindelin@gmx.de>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",9,data/crawl/git/hunk_1185.cpp,invoke same log method,non-trivial,data/crawl/git/old_hunk_1185.cpp,data/crawl/git/new_hunk_1185.cpp,4,5,"die(_(""unable to write new index file""));","error(_(""unable to write new index file""));","[""updateLog""]","[[""die""], [""error""]]",[10210225593202855182],6564,3546167.4418604653,86
https://github.com/git/git/commit/90875eca5a0b227e6a1be3ccece0a3da5e72017f,07 Sep 2016,"apply: use error_errno() where possible

To avoid possible mistakes and to uniformly show the errno
related messages, let's use error_errno() where possible.

Signed-off-by: Christian Couder <chriscool@tuxfamily.org>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",16,data/crawl/git/hunk_1506.cpp,use same variable,non-trivial,data/crawl/git/old_hunk_1506.cpp,data/crawl/git/new_hunk_1506.cpp,3,3,"error(""%s: %s"", new_name, strerror(errno));","error_errno(""%s"", new_name);","[""updateLog"", ""removeVariable"", ""updateContent""]","[[""error"", ""%s"", ""strerror"", ""errno""], [""error_errno""]]",[-22273121909024948375],6563,7063.783783783784,74
https://github.com/git/git/commit/0721c314a5c8fddc877140ab5a333c42c62f780d,27 Jun 2009,"Use die_errno() instead of die() when checking syscalls

Lots of die() calls did not actually report the kind of error, which
can leave the user confused as to the real problem.  Use die_errno()
where we check a system/library call that sets errno on failure, or
one of the following that wrap such calls:

  Function              Passes on error from
  --------              --------------------
  odb_pack_keep         open
  read_ancestry         fopen
  read_in_full          xread
  strbuf_read           xread
  strbuf_read_file      open or strbuf_read_file
  strbuf_readlink       readlink
  write_in_full         xwrite

Signed-off-by: Thomas Rast <trast@student.ethz.ch>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",153,data/crawl/git/hunk_5806.cpp,invoke same log method,non-trivial,data/crawl/git/old_hunk_5806.cpp,data/crawl/git/new_hunk_5806.cpp,3,3,"die (""Could not get current working directory"");","die_errno (""Could not get current working directory"");","[""updateLog""]","[[""die""], [""die_errno""]]",[-4657290980438519867],6562,0.0,62
https://github.com/git/git/commit/6cd4a8982dbde0b6fee26faba2873c475af50a28,30 Mar 2017,"avoid using mksnpath for refs

Like the previous commit, we'd like to avoid the assumption
that refs fit into PATH_MAX-sized buffers. These callsites
have an extra twist, though: they write the refnames using
mksnpath. This does two things beyond a regular snprintf:

  1. It quietly writes ""/bad-path/"" when truncation occurs.
     This saves the caller having to check the error code,
     but if you aren't actually feeding the result to a
     system call (and we aren't here), it's questionable.

  2. It calls cleanup_path(), which removes leading
     instances of ""./"".  That's questionable when dealing
     with refnames, as we could silently canonicalize a
     syntactically bogus refname into a valid one.

Let's convert each case to use a strbuf. This is preferable
to xstrfmt() because we can reuse the same buffer as we
loop.

Signed-off-by: Jeff King <peff@peff.net>",44,data/crawl/git/hunk_700.cpp,use same variable,non-trivial,data/crawl/git/old_hunk_700.cpp,data/crawl/git/new_hunk_700.cpp,21,22,"warning(""ignoring dangling symref %s."", fullref);","warning(""ignoring dangling symref %s."", fullref.buf);","[""removeVariable"", ""addVariable""]","[[], [""buf""]]",[327024216826240860],6561,2321131.0344827585,58
https://github.com/git/git/commit/d1d42bf5980b2d31f43f4a54c3d98d19f879b919,14 Oct 2016,"i18n: apply: mark error messages for translation

Mark error messages for translation passed to error() and die()
functions.

Signed-off-by: Vasco Almeida <vascomalmeida@sapo.pt>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",48,data/crawl/git/hunk_1044.cpp,use same text format,trivial,data/crawl/git/old_hunk_1044.cpp,data/crawl/git/new_hunk_1044.cpp,3,3,"error(""--reject and --3way cannot be used together."");","(_(""--reject and --3way cannot be used together."");","[""addLog"", ""updateLog""]","[[""error""], [""_""]]",[-8285138772839343769],6560,824256.0,50
https://github.com/git/git/commit/3fc7281ffa2533820d26809223c7181256b88fe2,30 Jan 2018,"sha1_file: convert write_loose_object to object_id

Convert the definition and declaration of static write_loose_object
function to struct object_id.

Signed-off-by: Patryk Obara <patryk.obara@gmail.com>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",28,data/crawl/git/hunk_118.cpp,use same variable,non-trivial,data/crawl/git/old_hunk_118.cpp,data/crawl/git/new_hunk_118.cpp,3,3,"die(""unable to deflate new object %s (%d)"", sha1_to_hex(sha1), ret);","die(""unable to deflate new object %s (%d)"", oid_to_hex(oid),
		    ret);","[""updateVariable""]","[[""sha1_to_hex"", ""sha1""], [""oid_to_hex"", ""oid""]]",[11698201631503247408],6559,752947.2,50
https://github.com/git/git/commit/a9f8a37584a6d3e4702ce115476bebda20d871d3,07 Oct 2017,"submodule: port submodule subcommand 'status' from shell to C

This aims to make git-submodule 'status' a built-in. Hence, the function
cmd_status() is ported from shell to C. This is done by introducing
four functions: module_status(), submodule_status_cb(),
submodule_status() and print_status().

The function module_status() acts as the front-end of the subcommand.
It parses subcommand's options and then calls the function
module_list_compute() for computing the list of submodules. Then
this functions calls for_each_listed_submodule() looping through the
list obtained.

Then for_each_listed_submodule() calls submodule_status_cb() for each of
the submodule in its list. The function submodule_status_cb() calls
submodule_status() after passing appropriate arguments to the funciton.
Function submodule_status() is responsible for generating the status
each submodule it is called for, and then calls print_status().

Finally, the function print_status() handles the printing of submodule's
status.

Function set_name_rev() is also ported from git-submodule to the
submodule--helper builtin function compute_rev_name(), which now
generates the value of the revision name as required.

Mentored-by: Christian Couder <christian.couder@gmail.com>
Mentored-by: Stefan Beller <sbeller@google.com>
Signed-off-by: Prathamesh Chavan <pc44800@gmail.com>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",259,data/crawl/git/hunk_198.cpp,use same text,non-trivial,data/crawl/git/old_hunk_198.cpp,data/crawl/git/new_hunk_198.cpp,-1,21,,"printf(""\n"");","[""addLog""]","[[], [""printf"", ""\\n""]]",[7249185625612668815],6558,1109280.0,33
