url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster,wait_time
http://git.savannah.gnu.org/cgit/make.git/commit/?id=586daef9bcbefc234734ea3fc49da4db2083e723,11 Feb 2006,"Update copyright and license notices on all files. Added new file
 strcache.c to various non-UNIX makefiles and build scripts.
",1926,data/crawl/make/hunk_705.cpp,,,data/crawl/make/old_hunk_705.cpp,data/crawl/make/new_hunk_705.cpp,3,3,"printf (""\n%s # of strings in strcache: %d\n"", prefix, numstrs);","printf (_(""\n%s # of strings in strcache: %d\n""), prefix, numstrs);","[""addVariable""]","[[], [""_""]]",[12160036574],1643,"83 days, 19:04:50.683229"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=a6a9ebb54f67cb13a07dd3b815c258ae8c35b3ac,5 Mar 1999,"* Define and use xstrdup() instead of strdup().
",62,data/crawl/make/hunk_1235.cpp,,,data/crawl/make/old_hunk_1235.cpp,data/crawl/make/new_hunk_1235.cpp,3,3,"fatal (""BUG: num_pattern_rules wrong!  %u != %u"",
               num_pattern_rules, rules);","fatal (NILF, ""BUG: num_pattern_rules wrong!  %u != %u"",
               num_pattern_rules, rules);","[""addVariable""]","[[], [""NILF""]]",[-4166586487144698643],1641,"2 days, 12:11:48.196721"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=757849cd93a9bc361a5113e3aaafe516773aad44,23 Nov 2013,"[SV 40361] Don't use vsnprintf(), which is an ISO C99 function.

* output.c (error, fatal, message): Take an extra argument specifying
how many bytes are used by the formatted arguments.
(get_buffer): New function that allocates the requested buffer size.
Remove msc_vsnprintf(), vfmtconcat(), and fmtconcat() as unneeded.
* makeint.h: Declare various helper macros for generating output.
* *.c: Change all error(), fatal(), message() calls to use the macros,
or pass the extra length argument directly.",812,data/crawl/make/hunk_145.cpp,,,data/crawl/make/old_hunk_145.cpp,data/crawl/make/new_hunk_145.cpp,3,3,"error (NILF, _(""touch archive member is not available on VMS""));","O (error, NILF, _(""touch archive member is not available on VMS""));","[""updateLog"", ""addVariable""]","[[], [""O""]]",[14208042734],1640,0:00:00
http://git.savannah.gnu.org/cgit/make.git/commit/?id=757849cd93a9bc361a5113e3aaafe516773aad44,23 Nov 2013,"[SV 40361] Don't use vsnprintf(), which is an ISO C99 function.

* output.c (error, fatal, message): Take an extra argument specifying
how many bytes are used by the formatted arguments.
(get_buffer): New function that allocates the requested buffer size.
Remove msc_vsnprintf(), vfmtconcat(), and fmtconcat() as unneeded.
* makeint.h: Declare various helper macros for generating output.
* *.c: Change all error(), fatal(), message() calls to use the macros,
or pass the extra length argument directly.",812,data/crawl/make/hunk_144.cpp,,,data/crawl/make/old_hunk_144.cpp,data/crawl/make/new_hunk_144.cpp,3,3,"fatal (NILF, _(""attempt to use unsupported feature: '%s'""), name);","OS (fatal, NILF, _(""attempt to use unsupported feature: '%s'""), name);","[""updateLog"", ""addVariable""]","[[], [""OS""]]",[14208085359128316],1639,0:00:00
http://git.savannah.gnu.org/cgit/make.git/commit/?id=9302338304b5221160aaf8e060a85ac05eb428b7,19 Aug 2001,"Installed the da.po (Danish) translation file.

Fixed some translation string issues.",1740,data/crawl/make/hunk_887.cpp,,,data/crawl/make/old_hunk_887.cpp,data/crawl/make/new_hunk_887.cpp,3,3,"puts (""\n# Implicit Rules"");","(_(""\n# Implicit Rules"");","[""addLog"", ""updateLog""]","[[""puts""], [""_""]]",[-4142537761701811784],1638,"23 days, 12:45:00"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=fb779d2f1e26a280f381886f3cdf444102676249,19 Nov 2017,"Rework directory structure to use GNU-recommended ""src"" directory.

Move the source code (other than glob) into the ""src"" subdirectory.
Update all scripting and recommendations to support this change.

* *.c, *.h, w32/*: Move to src/
* configure.ac, Makefile.am, maintMakefile: Locate new source files.
* Basic.mk.template, mk/*: Update for new source file locations.
* NEWS, README.DOS.template: Update for new locations.
* build.template, build_w32.bat, builddos.bat: Ditto.
* po/POTFILES.in: Ditto
* tests/run_make_tests.pl, tests/scripts/features/load*: Ditto.
* make.1: Move to doc.
* mk/VMS.mk: Add support for building on VMS (hopefully).
* makefile.vms, prepare_w32.bat: Remove.
* SCOPTIONS: Update to define HAVE_CONFIG_H",86633,data/crawl/make/hunk_23.cpp,,,data/crawl/make/old_hunk_23.cpp,data/crawl/make/new_hunk_23.cpp,-1,107,,"variable_buffer_output (o, "" "",1);","[""addLog""]","[[], [""variable_buffer_output"", ""o"", ""1""]]",[-7397840130619402461],1637,"5878 days, 20:07:44.516129"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=fb779d2f1e26a280f381886f3cdf444102676249,19 Nov 2017,"Rework directory structure to use GNU-recommended ""src"" directory.

Move the source code (other than glob) into the ""src"" subdirectory.
Update all scripting and recommendations to support this change.

* *.c, *.h, w32/*: Move to src/
* configure.ac, Makefile.am, maintMakefile: Locate new source files.
* Basic.mk.template, mk/*: Update for new source file locations.
* NEWS, README.DOS.template: Update for new locations.
* build.template, build_w32.bat, builddos.bat: Ditto.
* po/POTFILES.in: Ditto
* tests/run_make_tests.pl, tests/scripts/features/load*: Ditto.
* make.1: Move to doc.
* mk/VMS.mk: Add support for building on VMS (hopefully).
* makefile.vms, prepare_w32.bat: Remove.
* SCOPTIONS: Update to define HAVE_CONFIG_H",86633,data/crawl/make/hunk_1.cpp,,,data/crawl/make/old_hunk_1.cpp,data/crawl/make/new_hunk_1.cpp,107,-1,"variable_buffer_output (o, "" "",1);",,"[""removeLog""]","[[""variable_buffer_output"", ""o"", ""1""], []]",[7397840130619402461],1636,0:00:00
http://git.savannah.gnu.org/cgit/make.git/commit/?id=8572d6adf04d397505770b0b0d5cfd91cf6a92a8,8 Jul 2002,"Major updates in preparation for 3.80. New version of the manual, put
 into the doc subdir. Enhancements: $(eval ...) and $(value ...) functions,
 various bug fixes, etc.  See the ChangeLog. More to come.
",36910,data/crawl/make/hunk_857.cpp,,,data/crawl/make/old_hunk_857.cpp,data/crawl/make/new_hunk_857.cpp,11,9,"fatal (&fileinfo, _(""invalid syntax in conditional""));","fatal (fstart, _(""invalid syntax in conditional""));","[""updateVariable"", ""removeVariable""]","[[""&fileinfo""], [""fstart""]]",[-8284285745043612889],1635,0:00:00
http://git.savannah.gnu.org/cgit/make.git/commit/?id=dc2a6ceb81730c25c0beec1f13994b9710767ee1,15 Nov 2011,"Enable jobserver on W32 when using configure. Some W32 cleanups: see
 Savannah bug #34830 Forgot to modify the config.h.W32.template file for
 jobserver support.
",51,data/crawl/make/hunk_539.cpp,,,data/crawl/make/old_hunk_539.cpp,data/crawl/make/new_hunk_539.cpp,3,3,"fatal (NILF,_(""release jobserver semaphore: (Error %d: %s)""),
                 err, map_windows32_error_to_string(err));","fatal (NILF, _(""release jobserver semaphore: (Error %ld: %s)""),
                 err, map_windows32_error_to_string(err));","[""updateContent""]","[[""%d""], [""%ld""]]",[-4775301843693679707],1634,"704 days, 14:46:09.230769"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1075.cpp,,,data/crawl/make/old_hunk_1075.cpp,data/crawl/make/new_hunk_1075.cpp,3,3,"printf (""Member `%s'%s: %ld bytes at %ld (%ld).\n"",
	  name, truncated ? "" (name might be truncated)"" : """",
	  size, hdrpos, datapos);","printf (_(""Member `%s'%s: %ld bytes at %ld (%ld).\n""),
	  name, truncated ? _("" (name might be truncated)"") : """",
	  size, hdrpos, datapos);","[""moveContent"", ""addVariable""]","[[], [""_"", ""_""]]",[24320073148],1633,0:00:00
