url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster
http://git.savannah.gnu.org/cgit/make.git/commit/?id=586daef9bcbefc234734ea3fc49da4db2083e723,11 Feb 2006,"Update copyright and license notices on all files. Added new file
 strcache.c to various non-UNIX makefiles and build scripts.
",1926,data/crawl/make/hunk_705.cpp,use same text format,trivial,data/crawl/make/old_hunk_705.cpp,data/crawl/make/new_hunk_705.cpp,3,3,"printf (""\n%s # of strings in strcache: %d\n"", prefix, numstrs);","printf (_(""\n%s # of strings in strcache: %d\n""), prefix, numstrs);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=586daef9bcbefc234734ea3fc49da4db2083e723,11 Feb 2006,"Update copyright and license notices on all files. Added new file
 strcache.c to various non-UNIX makefiles and build scripts.
",1926,data/crawl/make/hunk_705.cpp,use same text format,trivial,data/crawl/make/old_hunk_705.cpp,data/crawl/make/new_hunk_705.cpp,4,4,"printf (""%s # of strcache buffers: %d\n"", prefix, numbuffs);","printf (_(""%s # of strcache buffers: %d\n""), prefix, numbuffs);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=586daef9bcbefc234734ea3fc49da4db2083e723,11 Feb 2006,"Update copyright and license notices on all files. Added new file
 strcache.c to various non-UNIX makefiles and build scripts.
",1926,data/crawl/make/hunk_705.cpp,use same text format,trivial,data/crawl/make/old_hunk_705.cpp,data/crawl/make/new_hunk_705.cpp,5,5,"printf (""%s strcache size: total = %d / max = %d / min = %d / avg = %d\n"",
          prefix, totsize, maxsize, minsize, avgsize);","printf (_(""%s strcache size: total = %d / max = %d / min = %d / avg = %d\n""),
          prefix, totsize, maxsize, minsize, avgsize);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=586daef9bcbefc234734ea3fc49da4db2083e723,11 Feb 2006,"Update copyright and license notices on all files. Added new file
 strcache.c to various non-UNIX makefiles and build scripts.
",1926,data/crawl/make/hunk_705.cpp,use same text format,trivial,data/crawl/make/old_hunk_705.cpp,data/crawl/make/new_hunk_705.cpp,7,7,"printf (""%s strcache free: total = %d / max = %d / min = %d / avg = %d\n"",
          prefix, totfree, maxfree, minfree, avgfree);","printf (_(""%s strcache free: total = %d / max = %d / min = %d / avg = %d\n""),
          prefix, totfree, maxfree, minfree, avgfree);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=ee3a4f9dd600b4a80a9957e2c3dd90c99d73cf0e,8 Aug 2002,"Change the version. Update to require new gettext. Change hash.c to
 by K&R. Redo some strings to make i18n simpler.
",396,data/crawl/make/hunk_834.cpp,use same text format,trivial,data/crawl/make/old_hunk_834.cpp,data/crawl/make/new_hunk_834.cpp,3,3,"error (NILF, ""%s%s: %s"", str, name, strerror (errno));","error (NILF, _(""%s%s: %s""), str, name, strerror (errno));","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=ee3a4f9dd600b4a80a9957e2c3dd90c99d73cf0e,8 Aug 2002,"Change the version. Update to require new gettext. Change hash.c to
 by K&R. Redo some strings to make i18n simpler.
",396,data/crawl/make/hunk_835.cpp,use same text format,trivial,data/crawl/make/old_hunk_835.cpp,data/crawl/make/new_hunk_835.cpp,3,3,"fatal (NILF, ""%s: %s"", name, strerror (errno));","fatal (NILF, _(""%s: %s""), name, strerror (errno));","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=9302338304b5221160aaf8e060a85ac05eb428b7,19 Aug 2001,"Installed the da.po (Danish) translation file.

Fixed some translation string issues.",1740,data/crawl/make/hunk_888.cpp,use same text format,trivial,data/crawl/make/old_hunk_888.cpp,data/crawl/make/new_hunk_888.cpp,3,3,"printf ("" (from `%s', line %lu)"", v->fileinfo.filenm, v->fileinfo.lineno);","printf (_("" (from `%s', line %lu)""),
            v->fileinfo.filenm, v->fileinfo.lineno);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=90f23f1ea6e436d681db81aa80edb7a763de2b12,5 Feb 2000,"* Updates for VMS, Windows, and DOS ports. * Clean up some warnings.
",206,data/crawl/make/hunk_934.cpp,use same text format,trivial,data/crawl/make/old_hunk_934.cpp,data/crawl/make/new_hunk_934.cpp,3,3,"fprintf (stderr, ""Syntax error, still inside '\""'\n"");","fprintf (stderr, _(""Syntax error, still inside '\""'\n""));","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=90f23f1ea6e436d681db81aa80edb7a763de2b12,5 Feb 2000,"* Updates for VMS, Windows, and DOS ports. * Clean up some warnings.
",206,data/crawl/make/hunk_937.cpp,use same text format,trivial,data/crawl/make/old_hunk_937.cpp,data/crawl/make/new_hunk_937.cpp,3,3,"fprintf (stderr, ""-warning, CTRL-Y will leave ""
			""sub-process(es) around.\n"");","fprintf (stderr,
                         _(""-warning, CTRL-Y will leave sub-process(es) around.\n""));","[""updateContent"", ""removeContent"", ""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=90f23f1ea6e436d681db81aa80edb7a763de2b12,5 Feb 2000,"* Updates for VMS, Windows, and DOS ports. * Clean up some warnings.
",206,data/crawl/make/hunk_938.cpp,use same text format,trivial,data/crawl/make/old_hunk_938.cpp,data/crawl/make/new_hunk_938.cpp,3,3,"fprintf (stderr, ""-warning, you may have to re-enable CTRL-Y""
			""handling from DCL.\n"");","fprintf (stderr,
                         _(""-warning, you may have to re-enable CTRL-Y handling from DCL.\n""));","[""updateContent"", ""removeContent"", ""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=90f23f1ea6e436d681db81aa80edb7a763de2b12,5 Feb 2000,"* Updates for VMS, Windows, and DOS ports. * Clean up some warnings.
",206,data/crawl/make/hunk_943.cpp,use same text format,trivial,data/crawl/make/old_hunk_943.cpp,data/crawl/make/new_hunk_943.cpp,3,3,"printf(""Unknown builtin command '%s'\n"", cmd);","printf(_(""Unknown builtin command '%s'\n""), cmd);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=90f23f1ea6e436d681db81aa80edb7a763de2b12,5 Feb 2000,"* Updates for VMS, Windows, and DOS ports. * Clean up some warnings.
",206,data/crawl/make/hunk_945.cpp,use same text format,trivial,data/crawl/make/old_hunk_945.cpp,data/crawl/make/new_hunk_945.cpp,3,3,"printf (""Error spawning, %d\n"",status);","printf (_(""Error spawning, %d\n"") ,status);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
