url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster,wait_time,cluster_size
https://github.com/squid-cache/squid/commit/721dcff0234670725c0d081aae71fa333d463006,29 May 2015,Fix eCAP issues after rev.14093,6,data/crawl/squid/hunk_702.cpp,invoke same log method,non-trivial,data/crawl/squid/old_hunk_702.cpp,data/crawl/squid/new_hunk_702.cpp,3,3,"buf.Printf(""M%d"", static_cast<int>(makingVb));","buf.appendf(""M%d"", static_cast<int>(makingVb));","[""updateLog""]","[[""Printf""], [""appendf""]]",[-403317783590601070],7733,64178.6301369863,438
https://github.com/squid-cache/squid/commit/912864c28eac63534ad0d0615cac8f665f219b94,08 Jan 2017,"Cleanup: remove ip/Qos.cci file

... moving its content to ip/QosConfig.cc

Also, move the stub file to src/tests/stub_libip.cc and update to use
tests/STUB.h interface.",404,data/crawl/squid/hunk_101.cpp,inner similar method,non-trivial,data/crawl/squid/old_hunk_101.cpp,data/crawl/squid/new_hunk_101.cpp,17,-1,"fatal (""Not implemented"");",,"[""removeLog""]","[[""fatal"", ""Not"", ""implemented""], []]",[8889578217720560850],7731,7742373.333333333,162
https://github.com/squid-cache/squid/commit/fa2301d26b90cbd1298eb7740e8827c7746cd9d2,01 Jan 2014,"Initial Large Rock and Collapsed Forwarding support.

Large Rock: Support disk (and shared memory) caching of responses exceeding
one db slot (or one shared memory page) in size. A single db slot/page size is
still limited to 32KB (smaller values can be configured for disk caches using
the newly added cache_dir slot-size option). Removal of old rock cache dir
(followed by squid-z) is required -- the on-disk db structure has changed.

Collapsed Forwarding: Optionally merge concurrent cachable requests for the
same URI earlier: After the request headers have been parsed (as before), but
now _before_ the response headers have been received. Merging of requests
received by different SMP workers is supported. Controlled by the new
collapsed_forwarding directive in squid.conf. Disabled by default because all
but one of the merged requests have to be delayed (until the response headers
are received) for the merging to work, which may be worse than forwarding all
concurrent requests immediately. The overall feature idea and request
eligibility conditions are based on Collapsed Forwarding in Squid2.


Summary of other important changes (merged branch log contains the details):

* Tightened StoreEntry locking. Split StoreEntry::lock() into ""just lock"" and
  ""update entry reference time"" interfaces, addressing an old XXX.  Improved
  entry lock/unlock debugging. Needs more work.

* Adjusted StoreIOState::write() API to allow callers detect write errors.

* Simplified MemObject::write() API to remove an essentially unused callback.

* Mark client streams that sent everything as STREAM_COMPLETE. The old code
  used STREAM_UNPLANNED_COMPLETE if the completed stream was associated with a
  non-persistent connection, which did not make sense to me and, IIRC, led to
  store entry aborts even though the entries were not damaged in any way.

* mem_hdr::hasContigousContentRange() now returns true for empty ranges.

* Support ""appending"" ReadWriteLock state that can be shared by readers and
  the writer. The writer promises not to update key metadata (except growing
  object size and next pointers) and readers promise to be careful when
  reading growing slices.

* Fixed StoreEntry::mayStartSwapOut() logic to handle terminated swapouts.

* Improved STORE_MEM_CLIENT detection and documented known (and mostly old)
  StoreEntry::storeClientType() problems.

* Removed StoreEntry::hidden_mem_obj hack.

* Polished StoreEntry debugging to report more info, less noise. Use e: prefix.

* Added a script to extract store entry(ies) debugging from cache.log.",6196,data/crawl/squid/hunk_1641.cpp,inner similar method,non-trivial,data/crawl/squid/old_hunk_1641.cpp,data/crawl/squid/new_hunk_1641.cpp,-1,147,,"fatal(""not implemented"");","[""addLog""]","[[], [""fatal"", ""not"", ""implemented""]]",[-8889578217720560850],7730,5487312.475247525,101
https://github.com/squid-cache/squid/commit/0bffe3cec1400f4d69724552e77e77878defd8a3,23 May 2016,"Sync with trunk-r14686

- Replaces with newer versions of BinaryTokenizer and HandshakeParser classes
- Modifications to use latest Handshake parser from trunk.
- Get HandshakeParser::serverCertificates, HandshakeParser::parseServerCertificates and HandshakeParser::ParseCertificate implementation from lp:fast-sni branch",6170,data/crawl/squid/hunk_175.cpp,invoke same method,non-trivial,data/crawl/squid/old_hunk_175.cpp,data/crawl/squid/new_hunk_175.cpp,3,4,"fprintf(stderr, ""%s: FATAL: Unable to open file '%s': %s"", program_name, filename, xstrerror());","fprintf(stderr, ""%s: FATAL: Unable to open file '%s': %s"", program_name, filename, xstrerr(xerrno));","[""updateVariable"", ""addVariable""]","[[""xstrerror""], [""xstrerr"", ""xerrno""]]",[-692937571753102809],7729,43200.0,87
https://github.com/squid-cache/squid/commit/c152a4473c4a3d187f67923eb83c5fe6ccd91013,12 Jul 2010,"Helpers: Naming and C++ update for external ACL helpers

 * Also adds the Fake auth helper for testing Basic authentication.
 * Also adds manual pages for most external ACL helpers

TODO: test for and fix any build issues on Windows.",2485,data/crawl/squid/hunk_3152.cpp,check similar variable,trivial,data/crawl/squid/old_hunk_3152.cpp,data/crawl/squid/new_hunk_3152.cpp,10,9,"fprintf(stderr, ""Connected OK\n"");","debug(""Connected OK\n"");","[""updateLog"", ""removeVariable""]","[[""fprintf"", ""stderr""], [""debug""]]",[21637425830572660846],7728,282970.74626865675,67
https://github.com/squid-cache/squid/commit/445d18a460422224933c2d3b964dce27270bb402,18 May 2009,"Move ASN handling for ACL into ACL area.

This removes one possble compile clash, and one empty file.",1279,data/crawl/squid/hunk_3765.cpp,block change,non-trivial,data/crawl/squid/old_hunk_3765.cpp,data/crawl/squid/new_hunk_3765.cpp,-1,500,,"storeAppendPrintf(sentry, ""\n"");","[""addLog""]","[[], [""storeAppendPrintf"", ""sentry"", ""\\n""]]",[6080590955771865090],7727,1490251.0344827587,58
https://github.com/squid-cache/squid/commit/5d3aafbed3edd9d4cc50d9f276010c51c6b942fe,20 Feb 2017,Sync with v5 rev.15058,1995,data/crawl/squid/hunk_41.cpp,block change,non-trivial,data/crawl/squid/old_hunk_41.cpp,data/crawl/squid/new_hunk_41.cpp,-1,106,,"storeAppendPrintf(entry, ""\n"");","[""addLog""]","[[], [""storeAppendPrintf"", ""entry"", ""\\n""]]",[3924684621819481232],7726,5620736.0,45
https://github.com/squid-cache/squid/commit/1c8f25bbb056368c4405473ff7304156608e92cc,17 Jun 2011,"Upgrade comm layer Connection handling

The premise underlying this large patch is that instead of copying and
re-copying and re-lookups for the FD related data we can take the
ConnectionDetail class which is generated to store a few bits of IP
information about newly accept()'d connections and make it persist across
the whole of Squid.

It has been renamed from ConnectionDetails to Comm::Connection and has
absorbed a few FD data fields from other classes long the code paths.
Its scope is to hold an FD (or potential FD) plus meta data.

Comm::Connection are valid before, during and after the period when their
particular FD is open. The meta data may be used beforehand to setup the
FD (in the case of peer selection or other TcpAcceptor usage), and it may
remain in use after FD closure until logging or all linked job and call
objects have detected the closure and terminated. A global function
Comm::IsConnOpen() may be used on the pointer objects to detect whether
they point at an active connection.

Most of the patch is simple parameter changes to functions and methods to
pass a ""cont Comm::ConnectionPointer &"" instead of an ""int FD"". Along with
class FD fields being converted to these object pointers.


In order to support this alteration there have been behavioral changes to:

The socket accept() Job
  Comm::TcpAcceptor altered to spawn Comm::Connection objects and to
  operate with one controlling their active/closed state.

FTP data channel handling Calls.
  efficiency improvements making use of Comm::Connection as a feedback
  channel between TcpAcceptor and FtpStateData to cancel the listening
  Job. Most of the underlying logic change is already in trunk to use
  the Subscription API. This just streamlines and fixes some race bugs.

Peer selection
  updated to spawn a set of Comm::Connection objects. To do this it is
  updated to determine *all* peers including DIRECT ones. Doing the DNS
  lookup instead of leaving it to comm_connect() on the other side of
  FwdState. It also absorbs the outgoing address selection from FwdState
  and can now specify details of local+remote ends of an outgoing TCP link.

Forwarding
  updated to handle the new outputs from peer selection and to open sequentially.

pconn handling
  updated to use destination IP/port and hold a Comm::Connection instead
  of domain name indexing an FD. This allows us to maintain idle pools
  and re-use FD more efficiently with virtual-hosted servers. Along
  with maintaining certainty that the pconn selected actually goes to
  the exact destination IP:port needed by forwarding.

comm layer outgoing connections
  now have a control job Comm::ConnOpener to do this. Due to the peer
  selection and forwarding changes this is a much simpler operation.

HTTP / CONNECT tunnel / gopher / whois / FTP
  updated to receive a server and client Comm::Connection object from
  forwarding. To operate on those until they close or are finished with.

SNMP / ICP / HTCP / DNS port listeners
  updated to work with Comm::Connection holding their listening socket
  meta data. This is a side-effect of the ICP and Comm read/write/timeout
  changes.",8518,data/crawl/squid/hunk_2578.cpp,inner similar method,non-trivial,data/crawl/squid/old_hunk_2578.cpp,data/crawl/squid/new_hunk_2578.cpp,-1,10,,"fatal(""pconn.cc required"");","[""addLog""]","[[], [""fatal"", ""pconn"", ""cc"", ""required""]]",[-13636338255685932867],7725,79508.57142857143,42
https://github.com/squid-cache/squid/commit/9e6e0372016a2d16124516049b5b9cd0ae9c52f8,17 May 2008,"Windows port: Added new mswin_check_ad_group external ACL helper

This helper allow the lookup of users's group membership in a Windows
Active Directory domain.
It overcomes the Lan Manager limits of mswin_check_lm_group, but it can be
used only with native Windows Active Directory domains, so mswin_check_lm_group 
will not removed from Squid.",669,data/crawl/squid/hunk_4289.cpp,check similar return value,non-trivial,data/crawl/squid/old_hunk_4289.cpp,data/crawl/squid/new_hunk_4289.cpp,-1,479,,"printf(""ERR\n"");","[""addLog""]","[[], [""printf"", ""ERR\\n""]]",[15522548339914942793],7724,1646236.0975609757,41
https://github.com/squid-cache/squid/commit/15576b6a58a24ed2705d6228d0fde8cfcef26cae,07 Feb 1998,remove brackets from cachemgr output,390,data/crawl/squid/hunk_6814.cpp,use same text,non-trivial,data/crawl/squid/old_hunk_6814.cpp,data/crawl/squid/new_hunk_6814.cpp,8,8,"storeAppendPrintf(sentry, ""{    ICP Requests %d}\n"",
	    c->Icp.n_requests);","storeAppendPrintf(sentry, ""    ICP Requests %d\n"",
	    c->Icp.n_requests);","[""updateContent""]","[[""%d"", ""\\n""], [""%d\\n""]]",[6128436140151560348],7723,0.0,34
