url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster,wait_time,cluster_size
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_209.cpp,invoke same log method,non-trivial,data/crawl/tar/old_hunk_209.cpp,data/crawl/tar/new_hunk_209.cpp,3,3,report_difference (NULL);,"report_difference (&current_stat_info, NULL);","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0.0,21
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=799e915cd3a889058eeefeaa25391cfe1eae7c3a,15 Apr 1997,"GNU tar 1.12
",1052,data/crawl/tar/hunk_484.cpp,block change,non-trivial,data/crawl/tar/old_hunk_484.cpp,data/crawl/tar/new_hunk_484.cpp,-1,96,,report_difference (NULL);,"[""addLog""]","[[], [""report_difference"", ""NULL""]]",[-3487817939530578388],593,0.0,9
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=c1b9212b16a53da408548efa3f9c8b1a62335b42,4 Oct 2003,"Moved system dependencies to system.c
",664,data/crawl/tar/hunk_233.cpp,use same constant,trivial,data/crawl/tar/old_hunk_233.cpp,data/crawl/tar/new_hunk_233.cpp,10,9,report_difference (0);,report_difference (NULL);,"[""removeContent"", ""addVariable""]","[[""0""], [""NULL""]]",[-4166558493256717462],592,0.0,9
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=c3fa22fc8023ad21ad32b13f934c3324756c9236,25 Jan 2010,"Read POSIX multivolume archives split at the header boundary.

* src/common.h (read_header_mode): New enum.
(read_header): Change type of the 3rd argument.
* src/list.c (read_header): Change type of the 3rd argument.
All callers updated.
* src/buffer.c (try_new_volume): Allow for volumes split at the
extended/ustar header boundary. This is against POSIX specs, but
we must be able to read such archives anyway.

* tests/multiv07.at: New test case.
* tests/Makefile.am: Add multiv07.at
* tests/testsuite.at: Likewise.

* src/compare.c: Update calls to read_header.
* src/delete.c: Likewise.
* src/update.c: Likewise.",157,data/crawl/tar/hunk_57.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_57.cpp,data/crawl/tar/new_hunk_57.cpp,-1,7,,"ERROR ((0, 0, _(""This does not look like a tar archive"")));","[""addLog""]","[[], [""ERROR"", ""0"", ""0"", ""_"", ""This"", ""does"", ""not"", ""look"", ""like"", ""a"", ""tar"", ""archive""]]",[25105532001702206967],591,3915000.0,8
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=0d70f547f3a9ff4a261b82e9b487c3f65b63fadf,21 Sep 1999,"(struct link): Remove unused linkcount member. (base_64_digits): Move
 to list.c. (base_8_digits): Remove. (to_octal): New function, with some of
 old contents of to_base. (to_base): Remove. (to_base256): New function.
 (to_chars): Use base 256, not base 64, for huge values. (mode_to_chars):
 Don't use two's complement in GNU format or POSIX format. (dump_file):
 Interchange last two arguments.  If TOP_LEVEL is negative, it means we have
 an incremental dump where we don't know whether this is a top-level call. Use
 deref_stat instead of statx / stat / lstat. Cast result of alloca. Check for
 dates if 0 < top_level, not if listed_incremental_option. Move multiple-link
 check after directory check. Do not dump avoided names. Dump hard links to
 symbolic names as links, not as separate symbolic links. start_header cannot
 return a null pointer, so don't test for it. Likewise for find_next_block.
",1015,data/crawl/tar/hunk_402.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_402.cpp,data/crawl/tar/new_hunk_402.cpp,-1,58,,"ERROR ((0, errno, _(""Cannot remove %s""), p));","[""addLog""]","[[], [""ERROR"", ""0"", ""errno"", ""_"", ""Cannot"", ""remove"", ""%s"", ""p""]]",[8358368121424660287],590,542468.5714285715,7
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=c8764440d9cb0187fcbabe26e7f6191c0148178e,4 Feb 2005,"(extract_archive): Rewritten
",836,data/crawl/tar/hunk_178.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_178.cpp,data/crawl/tar/new_hunk_178.cpp,-1,168,,"ERROR ((0, 0, _(""Unexpected EOF in archive"")));","[""addLog""]","[[], [""ERROR"", ""0"", ""0"", ""_"", ""Unexpected"", ""EOF"", ""in"", ""archive""]]",[5167937610357500499],589,3023588.5714285714,7
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=72290b64a6433a3c88ecb7b3044c3047beffeadc,18 Aug 1999,"(extract_sparse_file, extract_archive): Don't assume find_next_block
 yields nonnull. (extract_archive): Fix sparse array bug: we did not find end
 of array correctly.
",14,data/crawl/tar/hunk_412.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_412.cpp,data/crawl/tar/new_hunk_412.cpp,-1,5,,"ERROR ((0, 0, _(""Unexpected EOF on archive file"")));","[""addLog""]","[[], [""ERROR"", ""0"", ""0"", ""_"", ""Unexpected"", ""EOF"", ""on"", ""archive"", ""file""]]",[4659174231619724083],588,416640.0,6
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=d858a433c82626309e0d974ca923a79ac7f7f18f,31 Aug 2003,"Use current_stat_info
",2077,data/crawl/tar/hunk_260.cpp,use same text,non-trivial,data/crawl/tar/old_hunk_260.cpp,data/crawl/tar/new_hunk_260.cpp,24,21,"ERROR ((0, 0, _(""Unexpected EOF on archive file"")));","ERROR ((0, 0, _(""Unexpected EOF in archive"")));","[""updateContent""]","[[""on"", ""file""], [""in""]]",[508763378737776416],587,319680.0,6
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=d858a433c82626309e0d974ca923a79ac7f7f18f,31 Aug 2003,"Use current_stat_info
",2077,data/crawl/tar/hunk_259.cpp,use same constant,trivial,data/crawl/tar/old_hunk_259.cpp,data/crawl/tar/new_hunk_259.cpp,68,52,report_difference (NULL);,report_difference (0);,"[""removeVariable"", ""addContent""]","[[""NULL""], [""0""]]",[4166558493256717462],586,0.0,6
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=5c2e32780ed9aa2c03408bf0eeea3fb564fc0b48,6 Feb 2005,"Various fixes in help and diagnostic messages
",20,data/crawl/tar/hunk_164.cpp,use same text format,non-trivial,data/crawl/tar/old_hunk_164.cpp,data/crawl/tar/new_hunk_164.cpp,3,3,"argp_error (state, _(""Malformed density argument: '%s'""), arg);","argp_error (state, _(""Malformed density argument: %s""), quote (arg));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],585,451680.0,6
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=f6458a827ae7a2c41616490f653714068072b257,7 Nov 2005,"(list_archive): Handle incremental backups in pax format.
 (decode_header): Initialize stat_info.dumpdir
",47,data/crawl/tar/hunk_139.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_139.cpp,data/crawl/tar/new_hunk_139.cpp,28,-1,"ERROR ((0, 0, _(""Unexpected EOF in archive"")));",,"[""removeLog""]","[[""ERROR"", ""0"", ""0"", ""_"", ""Unexpected"", ""EOF"", ""in"", ""archive""], []]",[-5167937610357500499],584,441840.0,6
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=6e9d1539b665c8f3c173b36702ca1650cac977ad,13 Dec 1999,"(<quotearg.h>): New include. (enum permstatus): New enum. (struct
 delayed_set_stat): file_name is now at end of buffer, to avoid two mallocs. 
 New members file_name_len, invert_permissions, permstatus. (extr_init):
 Remove hack that silently adjusted newdir_umask. (set_mode, set_stat): New
 args invert_permissions, permstatus, typeflag. Use these args to decide
 whether and how to set modes. (set_mode, set_stat, prepare_to_extract,
 extract_sparse_file, extract_archive): Don't assume that gettext preserves
 errno. (set_stat): Remove arg symlink_flag; subsumed by typeflag.
 (delay_set_stat, repair_delayed_set_stat): New functions. (make_directories):
 Avoid mkdir where last part of path is "".."". Create a struct delayed_set_stat
 for each directory made. (prepare_to_extract): Renamed from
 unlink_destination, and return 0 immediately if to_stdout_option; all callers
 changed. (maybe_recoverable): New parameter interdir_made. Add support for
 --overwrite. (extract_sparse_file, extract_archive): Quote arbitrary strings
 in diagnostics. (extract_archive): By default, warn about "".."" in member
 names, and skip them. Don't open files with O_NONBLOCK or O_APPEND. Open with
 O_TRUNC only if --overwrite; otherwise, use O_EXCL to avoid overwriting them.
  Pass only rwxrwxrwx permissions to `open' and `mkdir', minus the current
 umask.  Keep track of intermediate directories made, to avoid looping when
 making x/../x when x doesn't exist; the earlier code solved this in a
 different way that didn't fit well into the new scheme.  Don't extract
 permissions onto existing directories unless --overwrite is given.  Do not
 add -wx------ permissions to new directories permanently; just do it
 temporarily. Remove no-longer-needed hack with MSDOS and directory time
 stamps. (apply_delayed_set_stat): New argument specifies which directories to
 fix statuses of.  Do not wait until the end of extraction to fix statuses;
 instead, fix a directory's status once we exit that directory. This requires
 less memory and does the right thing in some cases where the old method
 didn't. (fatal_exit): New function.
",600,data/crawl/tar/hunk_356.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_356.cpp,data/crawl/tar/new_hunk_356.cpp,15,16,"ERROR ((0, errno, _(""Cannot remove %s""), file_name));",unlink_error (file_name);,"[""updateLog"", ""removeVariable"", ""removeContent""]","[[""ERROR"", ""0"", ""errno"", ""_"", ""Cannot"", ""remove"", ""%s""], [""unlink_error""]]",[-12342690591773229784],583,0.0,5
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=f0429c4a22e5b19eefbdbc684e9e175a1cca9a3e,13 Dec 1999,"(<quotearg.h>): New include. (name_init, name_next, name_close,
 names_notfound, collect_and_sort_names): Don't assume that gettext preserves
 errno. Quote arbitrary strings in diagnostics. (excluded_name): Fix typo that
 caused empty patterns to be mishandled.
",20,data/crawl/tar/hunk_351.cpp,use same text format,non-trivial,data/crawl/tar/old_hunk_351.cpp,data/crawl/tar/new_hunk_351.cpp,3,3,"ERROR ((0, 0, _(""%s: Not found in archive""), cursor->name));","ERROR ((0, 0, _(""%s: Not found in archive""),
quotearg_colon (cursor->name)));","[""addVariable""]","[[], [""quotearg_colon""]]",[-1521945047501761070],582,0.0,5
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=df2ff9e4e495a32a962f6a1e61cca714503cbed3,13 Dec 1999,"(read_and, list_archive): Quote arbitrary strings in diagnostics.
 (from_header): Use locale_quoting_style to quote diagnostics. (print_header,
 print_for_mkdir): Quote with quotearg, not quote_copy_string.
",66,data/crawl/tar/hunk_348.cpp,use same text format,non-trivial,data/crawl/tar/old_hunk_348.cpp,data/crawl/tar/new_hunk_348.cpp,3,4,"ERROR ((0, errno, _(""Only wrote %lu of %lu bytes to file %s""),
      (unsigned long) check,
      (unsigned long) written, current_file_name));","ERROR ((0, e, _(""Only wrote %lu of %lu bytes to file %s""),
      (unsigned long) check,
      (unsigned long) written, quote (current_file_name)));","[""updateVariable"", ""moveVariable"", ""addVariable""]","[[""errno""], [""e"", ""quote""]]",[-8738965121426090876],581,0.0,5
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=3999bf6360930179f08a1265ce8713705aafd405,17 Nov 2003,"(diff_sparse_files): Temporary placeholder.
",144,data/crawl/tar/hunk_227.cpp,block change,non-trivial,data/crawl/tar/old_hunk_227.cpp,data/crawl/tar/new_hunk_227.cpp,47,-1,report_difference (NULL);,,"[""removeLog""]","[[""report_difference"", ""NULL""], []]",[3487817939530578388],580,67392.0,5
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=05805868f26533141b8b02d5a6449965652ef187,7 Aug 2006,"(read_incr_db_01): Check input strings more carefully.  Do not pass
 arbitrary char values to isspace, as this has undefined behavior.  Likewise
 for assigning arbitrary uintmax_t values to other types. (read_negative_num,
 read_unsigned_num, read_timespec): New functions, to check input values a bit
 more carefuly. (read_num): Use read_unsigned_num.  New arg MAX_VAL; all
 callers changed. (read_incr_db_2): Use these new functions. Use a consistent
 diagnostic for unexpected EOF. (read_directory_file): Do not assign arbitrary
 uintmax_t value to int. (read_timespec, write_directory_file_entry,
 write_directory_file): Handle negative time_t values correctly.  We don't
 bother to do this with pre-2 formats, since presumably the time stamps were
 output incorrectly.
",434,data/crawl/tar/hunk_102.cpp,use same variable,non-trivial,data/crawl/tar/old_hunk_102.cpp,data/crawl/tar/new_hunk_102.cpp,21,28,"ERROR ((0, 0, ""%s:%ld: %s"",
quotearg_colon (listed_incremental_option),
lineno,
_(""Invalid time stamp"")));","ERROR ((0, errno, ""%s:%ld: %s"",
      quotearg_colon (listed_incremental_option),
      lineno,
      _(""Invalid time stamp"")));","[""removeContent"", ""addVariable""]","[[""0""], [""errno""]]",[8285138778856361720],579,0.0,5
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=799e915cd3a889058eeefeaa25391cfe1eae7c3a,15 Apr 1997,"GNU tar 1.12
",1052,data/crawl/tar/hunk_484.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_484.cpp,data/crawl/tar/new_hunk_484.cpp,-1,102,,report_difference (message);,"[""addLog""]","[[], [""report_difference"", ""message""]]",[-6167893420632801877],578,0.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=27e87f4f2f4d49328c328fd55fa087d8a4507168,25 Apr 1997,"GNU tar 1.12
",4615,data/crawl/tar/hunk_471.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_471.cpp,data/crawl/tar/new_hunk_471.cpp,-1,440,,"ERROR ((0, errno, ""%s"", volno_file_option));","[""addLog""]","[[], [""ERROR"", ""0"", ""errno"", ""%s"", ""volno_file_option""]]",[20890249650769766495],577,0.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=49086e2770abfa6ad6a7647e2d0707b607ee1bf8,31 Oct 1997,"(newdir_umask, current_umask): Now mode_t. (extract_sparse_file):
 Args now use off_t.

(set_mode, set_stat, make_directories, extract_sparse_file,
extract_archive): Use off_t, size_t, ssize_t when appropriate.  Remove
now-useless casts.  Use unsigned long to print *_t types, except use
STRINGIFY_BIGINT for off_t.",130,data/crawl/tar/hunk_456.cpp,check similar variable,non-trivial,data/crawl/tar/old_hunk_456.cpp,data/crawl/tar/new_hunk_456.cpp,3,3,"ERROR ((0, errno, _(""%s: Cannot lchown to uid %d gid %d""),
    file_name, stat_info->st_uid, stat_info->st_gid));","ERROR ((0, errno, _(""%s: Cannot lchown to uid %lu gid %lu""),
    file_name,
    (unsigned long) stat_info->st_uid,
    (unsigned long) stat_info->st_gid));","[""updateContent"", ""addVariable""]","[[""%d"", ""%d""], [""%lu"", ""%lu"", ""unsigned"", ""long"", ""unsigned"", ""long""]]",[-11939518791742488030],576,0.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=1f27dca9765c886a72629a655d538c36c6cb0fea,20 Jul 1999,"(decode_options): ERROR ((TAREXIT_FAILURE, ... -> FATAL_ERROR ((0,
 for consistency.
",8,data/crawl/tar/hunk_425.cpp,use same constant,trivial,data/crawl/tar/old_hunk_425.cpp,data/crawl/tar/new_hunk_425.cpp,3,3,"ERROR ((TAREXIT_FAILURE, 0, _(""Invalid group given on option"")));","FATAL_ERROR ((0, 0, _(""Invalid group given on option"")));","[""updateLog"", ""removeVariable"", ""addContent""]","[[""ERROR"", ""TAREXIT_FAILURE""], [""FATAL_ERROR"", ""0""]]",[-10039368319591374705],575,0.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=14b158325624a6e42e8bf4f7169c7a55f0afb6f9,16 Aug 1999,"indenting fixes
",8,data/crawl/tar/hunk_415.cpp,use same text format,trivial,data/crawl/tar/old_hunk_415.cpp,data/crawl/tar/new_hunk_415.cpp,3,3,"ERROR ((0, errno, _(""\
Read error at byte %s, reading %lu bytes, in file %s""),
      STRINGIFY_BIGINT (fullsize - *sizeleft, buf),
      (unsigned long) bufsize, name));","ERROR ((0, errno,
      _(""Read error at byte %s, reading %lu bytes, in file %s""),
      STRINGIFY_BIGINT (fullsize - *sizeleft, buf),
      (unsigned long) bufsize, name));","[""updateContent""]","[[""\\""], []]",[-11776035421],574,2160.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=fcde5487eb6a6bc6ff80bc85a54fa94746494350,17 Aug 1999,"Ghostscript 6.0
",720,data/crawl/tar/hunk_414.cpp,block change,non-trivial,data/crawl/tar/old_hunk_414.cpp,data/crawl/tar/new_hunk_414.cpp,-1,319,,"fputs(buf, out);","[""addLog""]","[[], [""fputs"", ""buf"", ""out""]]",[961448989603819052],573,0.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=6e9d1539b665c8f3c173b36702ca1650cac977ad,13 Dec 1999,"(<quotearg.h>): New include. (enum permstatus): New enum. (struct
 delayed_set_stat): file_name is now at end of buffer, to avoid two mallocs. 
 New members file_name_len, invert_permissions, permstatus. (extr_init):
 Remove hack that silently adjusted newdir_umask. (set_mode, set_stat): New
 args invert_permissions, permstatus, typeflag. Use these args to decide
 whether and how to set modes. (set_mode, set_stat, prepare_to_extract,
 extract_sparse_file, extract_archive): Don't assume that gettext preserves
 errno. (set_stat): Remove arg symlink_flag; subsumed by typeflag.
 (delay_set_stat, repair_delayed_set_stat): New functions. (make_directories):
 Avoid mkdir where last part of path is "".."". Create a struct delayed_set_stat
 for each directory made. (prepare_to_extract): Renamed from
 unlink_destination, and return 0 immediately if to_stdout_option; all callers
 changed. (maybe_recoverable): New parameter interdir_made. Add support for
 --overwrite. (extract_sparse_file, extract_archive): Quote arbitrary strings
 in diagnostics. (extract_archive): By default, warn about "".."" in member
 names, and skip them. Don't open files with O_NONBLOCK or O_APPEND. Open with
 O_TRUNC only if --overwrite; otherwise, use O_EXCL to avoid overwriting them.
  Pass only rwxrwxrwx permissions to `open' and `mkdir', minus the current
 umask.  Keep track of intermediate directories made, to avoid looping when
 making x/../x when x doesn't exist; the earlier code solved this in a
 different way that didn't fit well into the new scheme.  Don't extract
 permissions onto existing directories unless --overwrite is given.  Do not
 add -wx------ permissions to new directories permanently; just do it
 temporarily. Remove no-longer-needed hack with MSDOS and directory time
 stamps. (apply_delayed_set_stat): New argument specifies which directories to
 fix statuses of.  Do not wait until the end of extraction to fix statuses;
 instead, fix a directory's status once we exit that directory. This requires
 less memory and does the right thing in some cases where the old method
 didn't. (fatal_exit): New function.
",600,data/crawl/tar/hunk_355.cpp,use same variable,trivial,data/crawl/tar/old_hunk_355.cpp,data/crawl/tar/new_hunk_355.cpp,30,32,"ERROR ((0, errno, _(""%s: Cannot lchown to uid %lu gid %lu""),
    file_name,
    (unsigned long) stat_info->st_uid,
    (unsigned long) stat_info->st_gid));","ERROR ((0, e, _(""%s: Cannot lchown to uid %lu gid %lu""),
      quotearg_colon (file_name),
      (unsigned long) stat_info->st_uid,
      (unsigned long) stat_info->st_gid));","[""updateVariable"", ""moveVariable"", ""addVariable""]","[[""errno""], [""e"", ""quotearg_colon""]]",[-9807083819574102387],572,0.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=c1b9212b16a53da408548efa3f9c8b1a62335b42,4 Oct 2003,"Moved system dependencies to system.c
",664,data/crawl/tar/hunk_233.cpp,invoke same log method,non-trivial,data/crawl/tar/old_hunk_233.cpp,data/crawl/tar/new_hunk_233.cpp,19,-1,report_difference (message);,,"[""removeLog""]","[[""report_difference"", ""message""], []]",[6167893420632801877],571,0.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=c30c4ffb9fc874aafea6f6c91f3fc78595db4154,18 Jun 2009,"Remove files that were removed in CVS, but reappeared after migration
 to Git
",5265,data/crawl/tar/hunk_64.cpp,block change,non-trivial,data/crawl/tar/old_hunk_64.cpp,data/crawl/tar/new_hunk_64.cpp,319,-1,"fputs(buf, out);",,"[""removeLog""]","[[""fputs"", ""buf"", ""out""], []]",[-961448989603819052],570,0.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=239441b5dfd0468858bca2e219aae563e1f96d02,6 Dec 2015,"Bugfix

* src/buffer.c (try_new_volume): Warn if user supplied malformed
tar archive.
Consistently use WARN (instead of ERROR) when reporting.",9,data/crawl/tar/hunk_3.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_3.cpp,data/crawl/tar/new_hunk_3.cpp,3,3,"ERROR ((0, 0, _(""This does not look like a tar archive"")));","WARN ((0, 0, _(""This does not look like a tar archive"")));","[""updateLog""]","[[""ERROR""], [""WARN""]]",[-11954066244619719719],569,5156640.0,4
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=799e915cd3a889058eeefeaa25391cfe1eae7c3a,15 Apr 1997,"GNU tar 1.12
",1052,data/crawl/tar/hunk_484.cpp,block change,non-trivial,data/crawl/tar/old_hunk_484.cpp,data/crawl/tar/new_hunk_484.cpp,-1,109,,"report_difference (_(""Data differs""));","[""addLog""]","[[], [""report_difference"", ""_"", ""Data"", ""differs""]]",[-2835912118937840285],568,0.0,3
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=818c240503f808e12705dafb1f69077cdd10053b,23 Apr 1997,"GNU tar 1.12
",1525,data/crawl/tar/hunk_477.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_477.cpp,data/crawl/tar/new_hunk_477.cpp,-1,706,,"ERROR ((0, errno, _(""%s: Error while closing""), CURRENT_FILE_NAME));","[""addLog""]","[[], [""ERROR"", ""0"", ""errno"", ""_"", ""%s"", ""Error"", ""while"", ""closing"", ""CURRENT_FILE_NAME""]]",[30110988958145336131],567,3840.0,3
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=fcde5487eb6a6bc6ff80bc85a54fa94746494350,17 Aug 1999,"Ghostscript 6.0
",720,data/crawl/tar/hunk_414.cpp,block change,non-trivial,data/crawl/tar/old_hunk_414.cpp,data/crawl/tar/new_hunk_414.cpp,-1,691,,"fputs("");"", out);","[""addLog""]","[[], [""fputs"", ""out""]]",[634424772777578192],566,0.0,3
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=0d70f547f3a9ff4a261b82e9b487c3f65b63fadf,21 Sep 1999,"(struct link): Remove unused linkcount member. (base_64_digits): Move
 to list.c. (base_8_digits): Remove. (to_octal): New function, with some of
 old contents of to_base. (to_base): Remove. (to_base256): New function.
 (to_chars): Use base 256, not base 64, for huge values. (mode_to_chars):
 Don't use two's complement in GNU format or POSIX format. (dump_file):
 Interchange last two arguments.  If TOP_LEVEL is negative, it means we have
 an incremental dump where we don't know whether this is a top-level call. Use
 deref_stat instead of statx / stat / lstat. Cast result of alloca. Check for
 dates if 0 < top_level, not if listed_incremental_option. Move multiple-link
 check after directory check. Do not dump avoided names. Dump hard links to
 symbolic names as links, not as separate symbolic links. start_header cannot
 return a null pointer, so don't test for it. Likewise for find_next_block.
",1015,data/crawl/tar/hunk_400.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_400.cpp,data/crawl/tar/new_hunk_400.cpp,62,-1,"ERROR ((0, errno, _(""Cannot remove %s""), p));",,"[""removeLog""]","[[""ERROR"", ""0"", ""errno"", ""_"", ""Cannot"", ""remove"", ""%s"", ""p""], []]",[-8358368121424660287],565,0.0,3
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=51f0c7c36448cb51018feb81a47fb9bb792784c7,11 Oct 1999,"(tartime): Now extern. (read_and): Invalid headers cause errors, not
 warnings.
",7,data/crawl/tar/hunk_393.cpp,check similar return value,non-trivial,data/crawl/tar/old_hunk_393.cpp,data/crawl/tar/new_hunk_393.cpp,-1,8,,"ERROR ((0, 0, _(""Skipping to next header"")));","[""addLog""]","[[], [""ERROR"", ""0"", ""0"", ""_"", ""Skipping"", ""to"", ""next"", ""header""]]",[-1753903362793465671],564,437280.0,3
