url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_log_locs,new_log_locs
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=7340f67b9860ea0531c1450e5aa261c50f67165d,29 Oct 2016,"When extracting, skip "".."" members

* NEWS: Document this.
* src/extract.c (extract_archive): Skip members whose names
contain "".."".",16,data/crawl/tar/hunk_0.cpp,,,data/crawl/tar/old_hunk_0.cpp,data/crawl/tar/new_hunk_0.cpp,[],[12]
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=9a33077a7b7ad7d32815a21dee54eba63b38a81c,27 May 2016,"Report positional options that were used but had no effect during
 archive creation

* src/names.c (file_selection_option)
(file_selection_option_name): New functions.
(unconsumed_option_push, unconsumed_option_free)
(unconsumed_option_report): New functions.
(name_list_advance): Maintain a list
of eventually unconsumed options during archive creation.
Report unconsumed options, if any.

* tests/positional01.at: New test case.
* tests/positional02.at: New test case.
* tests/positional03.at: New test case.
* tests/Makefile.am: Add new test cases.
* tests/testsuite.at: Likewise.

* NEWS: Document the changes.
* configure.ac: Version 1.29.90
* doc/tar.texi: Document the changes.",315,data/crawl/tar/hunk_1.cpp,,,data/crawl/tar/old_hunk_1.cpp,data/crawl/tar/new_hunk_1.cpp,[],"[10, 48, 59, 64, 68]"
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=3010818f369be1555b6b2d1532682e15a11c12cc,6 Apr 2016,"Remove iotty test

The auxiliary utility ttyemu proved to be unreliable.  Given existing
differences between pty implementations and termios ioctls on various
platforms, writing it in a portable way requires effort disproportional
to its actual purpose.

* configure.ac: Remove check for grantpt
* gnulib.modules: Remove posix_openpt, ptsname, and unlockpt
* tests/Makefile.am (TESTSUITE_AT): Remove iotty.at
(check_PROGRAMS): Remove ttyemu.
* tests/testsuite.at: Remove iotty.at
* tests/iotty.at: Remove.
* tests/ttyemu.c: Remove.",530,data/crawl/tar/hunk_2.cpp,,,data/crawl/tar/old_hunk_2.cpp,data/crawl/tar/new_hunk_2.cpp,[219],[]
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=239441b5dfd0468858bca2e219aae563e1f96d02,6 Dec 2015,"Bugfix

* src/buffer.c (try_new_volume): Warn if user supplied malformed
tar archive.
Consistently use WARN (instead of ERROR) when reporting.",9,data/crawl/tar/hunk_3.cpp,,,data/crawl/tar/old_hunk_3.cpp,data/crawl/tar/new_hunk_3.cpp,[3],[]
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=239441b5dfd0468858bca2e219aae563e1f96d02,6 Dec 2015,"Bugfix

* src/buffer.c (try_new_volume): Warn if user supplied malformed
tar archive.
Consistently use WARN (instead of ERROR) when reporting.",9,data/crawl/tar/hunk_4.cpp,,,data/crawl/tar/old_hunk_4.cpp,data/crawl/tar/new_hunk_4.cpp,[3],[]
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=1a615a41f5e1c84b8386d2b524af9126ebb810b1,2 Nov 2015,"New options: --owner-map and --group-map.

* NEWS: Update.
* doc/tar.1: Document --owner-map and --group-map
* doc/tar.texi: Likewise.

* src/map.c: New file.
* src/Makefile.am: Add map.c
* src/common.h (owner_map_read, owner_map_translate)
(group_map_read, group_map_translate): New protos.
* src/create.c (start_header): Use owner_map_translate
and group_map_translate to optionally translate user/group names/ids.
* src/tar.c: New options --owner-map and --group-map.

* tests/map.at: New file.
* tests/Makefile.am: Add map.at
* tests/testsuite.at: Include map.at.",566,data/crawl/tar/hunk_5.cpp,,,data/crawl/tar/old_hunk_5.cpp,data/crawl/tar/new_hunk_5.cpp,[],"[59, 64, 109, 127, 160]"
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=ae23a57d7003eee5cf323a29bf956c19aea3b63f,31 Aug 2015,"Improve option sanity checking

Any two conflicting options are reported only if they both occur in
the command line.  Otherwise, options defined in the command line
silently override those set in the TAR_OPTIONS environment variable.

* src/common.h (option_source): New enum.
(option_locus): New struct.
* src/names.c (name_elt): New member: line.
(name_add_file): Initialize line.
(read_name_from_file): Keep track of input line number for diagnostic
purposes.
(handle_option): Take a pointer to struct name_elt as 2nd parameter;
pass locus info to more_options().
* src/tar.c (tar_args): New member: loc.
(option_class): New enum.
(optloc_save,optloc_lookup)
(option_set_in_cl,optloc_eq): New functions.
(set_use_compress_program_option): Take into account option location.
(set_old_files_option): New function.
(parse_opt): Keep track of option locations.
(more_options): Improve error reporting.
(parse_default_options): New function.
(decode_options): Parse TAR_OPTION and command line separately.
Options from the latter silently override those from the former.

* lib/prepargs.c: Remove.
* lib/prepargs.h: Remove.
* lib/Makefile.am: Update.",421,data/crawl/tar/hunk_6.cpp,,,data/crawl/tar/old_hunk_6.cpp,data/crawl/tar/new_hunk_6.cpp,[],"[5, 8]"
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=21f86195b7c48196e7912bbb2755e56af5ea62ff,25 Jul 2015,"Fix typos (preceeded etc.)

Copyright-paperwork-exempt: yes",22,data/crawl/tar/hunk_7.cpp,,,data/crawl/tar/old_hunk_7.cpp,data/crawl/tar/new_hunk_7.cpp,[3],[3]
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=21f86195b7c48196e7912bbb2755e56af5ea62ff,25 Jul 2015,"Fix typos (preceeded etc.)

Copyright-paperwork-exempt: yes",22,data/crawl/tar/hunk_8.cpp,,,data/crawl/tar/old_hunk_8.cpp,data/crawl/tar/new_hunk_8.cpp,[2],[2]
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=b0902369e789c9aadf584799889a34637688d601,20 Mar 2014,"Fail if archive comes from a terminal.

Based on patch from Pavel Raiskup <praiskup@redhat.com>.

* gnulib.modules: Add new modules.
* src/buffer.c (_open_archive): Refuse to read archive from a tty.
* tests/Makefile.am (TESTSUITE_AT): Add iotty.at
(check_PROGRAMS): New program ttyemu
* tests/testsuite.at: Include iotty.at
* tests/iotty.at: New file.
* tests/ttyemu.c: New file.",527,data/crawl/tar/hunk_9.cpp,,,data/crawl/tar/old_hunk_9.cpp,data/crawl/tar/new_hunk_9.cpp,[],[219]
