url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster,wait_time
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1105.cpp,,,data/crawl/wget/old_hunk_1105.cpp,data/crawl/wget/new_hunk_1105.cpp,3,3,"logprintf (LOG_NOTQUIET, _(""POST data file `%s' missing: %s\n""),
                         opt.post_file_name, strerror (errno));","logprintf (LOG_NOTQUIET, _(""POST data file %s missing: %s\n""),
                         quote (opt.post_file_name), strerror (errno));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535,9:40:27.906976
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1167.cpp,,,data/crawl/wget/old_hunk_1167.cpp,data/crawl/wget/new_hunk_1167.cpp,1,1,"logprintf (LOG_NOTQUIET,
               _(""Syntax error in Set-Cookie: %s at position %d.\n""),
               escnonprint (set_cookie), (int) (ptr - set_cookie));","logprintf (LOG_NOTQUIET,
               _(""Syntax error in Set-Cookie: %s at position %d.\n""),
               quotearg_style (escape_quoting_style, set_cookie), 
               (int) (ptr - set_cookie));","[""updateVariable"", ""addVariable""]","[[""escnonprint""], [""quotearg_style"", ""escape_quoting_style""]]",[7827836519680297089],1534,"3 days, 2:02:55.609756"
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=92035dbabd8bb7fc3d10535c97adad2088c9129b,22 Jul 2013,"Fix erroneous error codes when HTTP Digest Authentication fails.
",128,data/crawl/wget/hunk_259.cpp,,,data/crawl/wget/old_hunk_259.cpp,data/crawl/wget/new_hunk_259.cpp,-1,16,,"logputs (LOG_VERBOSE, ""\n"");","[""addLog""]","[[], [""logputs"", ""LOG_VERBOSE"", ""\\n""]]",[-14357329683050999887],1533,"742 days, 22:01:38.630136"
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2524076dd238f47d3d45368a6b2722931cea577e,5 Jul 2009,"Translation fixes.
",32,data/crawl/wget/hunk_500.cpp,,,data/crawl/wget/old_hunk_500.cpp,data/crawl/wget/new_hunk_500.cpp,2,2,"logprintf (LOG_NOTQUIET,
                     _(""The certificate's owner does not match hostname '%s'\n""),
                     host);","logprintf (LOG_NOTQUIET,
                     _(""The certificate's owner does not match hostname %s\n""),
                     quote (host));","[""updateContent"", ""addVariable""]","[[""%s"", ""\\n""], [""%s\\n"", ""quote""]]",[5674626790859810725],1532,"16 days, 7:42:51.428571"
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=b3363d2abde075724674ab63c1564df783e1fad5,4 Mar 2005,"[svn] Fix escape chars in server response vulnerability.  Server
 response is now quoted to escape non-ASCII characters.
",255,data/crawl/wget/hunk_3037.cpp,,,data/crawl/wget/old_hunk_3037.cpp,data/crawl/wget/new_hunk_3037.cpp,3,3,"logprintf (LOG_VERBOSE,
		   _(""Connecting to %s|%s|:%d... ""), print, txt_addr, port);","logprintf (LOG_VERBOSE, _(""Connecting to %s|%s|:%d... ""),
		   escnonprint (print), txt_addr, port);","[""addVariable""]","[[], [""escnonprint""]]",[2043966854837742818],1530,0:00:00
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=a024990e18c2ab5ebd815c722d1c5e23b0e302bf,27 Aug 2011,"Detect some failures when write to stdout fails.
",108,data/crawl/wget/hunk_332.cpp,,,data/crawl/wget/old_hunk_332.cpp,data/crawl/wget/new_hunk_332.cpp,-1,13,,"(printf (""\n"");","[""addLog""]","[[], [""printf"", ""\\n""]]",[7249185625612668815],1529,"2611 days, 0:00:00"
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=74f6cb88841b63ee9399e249ee993ac31a262a7f,2 Sep 2012,"Mark more strings for translation
",25,data/crawl/wget/hunk_276.cpp,,,data/crawl/wget/old_hunk_276.cpp,data/crawl/wget/new_hunk_276.cpp,3,3,"fprintf (stderr, ""Exiting due to error in %s\n"", optarg);","fprintf (stderr, _(""Exiting due to error in %s\n""), optarg);","[""addVariable""]","[[], [""_""]]",[12160036574],1528,"2401 days, 4:21:49.090909"
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=408126aae0277e5c9e995a32bd942f4fa5cd7a9d,23 Feb 2012,"Print some diagnostic messages to stderr not to stdout.
",15,data/crawl/wget/hunk_303.cpp,,,data/crawl/wget/old_hunk_303.cpp,data/crawl/wget/new_hunk_303.cpp,3,3,"printf (""Exiting due to error in %s\n"", optarg);","fprintf (stderr, ""Exiting due to error in %s\n"", optarg);","[""updateLog"", ""addVariable""]","[[""printf""], [""fprintf"", ""stderr""]]",[-21163064839310014221],1527,"3203 days, 7:12:00"
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=8c2fd06ba80b5312b4540859d452664450ec054f,1 May 2014,"Add --show-progress to force  display progress bar

This is a relatively large commit that implements two major features:

1. Implement --show-progress switch to force the display of the progress bar in
   any verbosity level
2. Edit the implementation of the progress bar so that the filename is displayed
   in the same line.",186,data/crawl/wget/hunk_234.cpp,,,data/crawl/wget/old_hunk_234.cpp,data/crawl/wget/new_hunk_234.cpp,3,3,"logprintf (LOG_VERBOSE, _(""\n%*s[ skipping %sK ]""),
                     2 + skipped_k_len, """",
                     number_to_static_string (skipped_k));","logprintf (LOG_PROGRESS, _(""\n%*s[ skipping %sK ]""),
                     2 + skipped_k_len, """",
                     number_to_static_string (skipped_k));","[""updateVariable""]","[[""LOG_VERBOSE""], [""LOG_PROGRESS""]]",[12150624695296392046],1526,0:00:00
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=b30a0dd817886f77a64be9218c5e5399bcbc2e67,22 Apr 2008,"Ted Mielczarek's CSS wonder-patch, applied against the source from
 around the time the patch was written.
",1098,data/crawl/wget/hunk_1082.cpp,,,data/crawl/wget/old_hunk_1082.cpp,data/crawl/wget/new_hunk_1082.cpp,-1,257,,"logprintf (LOG_NOTQUIET, ""%s: %s\n"", file, strerror (errno));","[""addLog""]","[[], [""logprintf"", ""LOG_NOTQUIET"", ""%s"", ""%s\\n"", ""file"", ""strerror"", ""errno""]]",[5990300792059462610],1525,"953 days, 0:00:00"
