url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1105.cpp,,,data/crawl/wget/old_hunk_1105.cpp,data/crawl/wget/new_hunk_1105.cpp,3,3,"logprintf (LOG_NOTQUIET, _(""POST data file `%s' missing: %s\n""),
                         opt.post_file_name, strerror (errno));","logprintf (LOG_NOTQUIET, _(""POST data file %s missing: %s\n""),
                         quote (opt.post_file_name), strerror (errno));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1110.cpp,,,data/crawl/wget/old_hunk_1110.cpp,data/crawl/wget/new_hunk_1110.cpp,3,3,"logprintf (LOG_NOTQUIET, _(""Cannot write to `%s' (%s).\n""),
                     hstat.local_file, strerror (errno));","logprintf (LOG_NOTQUIET, _(""Cannot write to %s (%s).\n""),
                     quote (hstat.local_file), strerror (errno));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1112.cpp,,,data/crawl/wget/old_hunk_1112.cpp,data/crawl/wget/new_hunk_1112.cpp,2,2,"logprintf (LOG_VERBOSE,
                         _(""%s (%s) - `%s' saved [%s/%s]\n\n""),
                         tms, tmrate, hstat.local_file,
                         number_to_static_string (hstat.len),
                         number_to_static_string (hstat.contlen));","logprintf (LOG_VERBOSE,
                         _(""%s (%s) - %s saved [%s/%s]\n\n""),
                         tms, tmrate, quote (hstat.local_file),
                         number_to_static_string (hstat.len),
                         number_to_static_string (hstat.contlen));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1113.cpp,,,data/crawl/wget/old_hunk_1113.cpp,data/crawl/wget/new_hunk_1113.cpp,2,2,"logprintf (LOG_VERBOSE,
                             _(""%s (%s) - `%s' saved [%s]\n\n""),
                             tms, tmrate, hstat.local_file,
                             number_to_static_string (hstat.len));","logprintf (LOG_VERBOSE,
                             _(""%s (%s) - %s saved [%s]\n\n""),
                             tms, tmrate, quote (hstat.local_file),
                             number_to_static_string (hstat.len));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1116.cpp,,,data/crawl/wget/old_hunk_1116.cpp,data/crawl/wget/new_hunk_1116.cpp,3,3,"logprintf (LOG_NOTQUIET, _(""No such file or directory `%s'.\n\n""),
                     ""."");","logprintf (LOG_NOTQUIET, _(""No such file or directory %s.\n\n""),
                     quote ("".""));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1119.cpp,,,data/crawl/wget/old_hunk_1119.cpp,data/crawl/wget/new_hunk_1119.cpp,3,3,"logprintf (LOG_VERBOSE, _(""%s (%s) - `%s' saved [%s]\n\n""),
                   tms, tmrate, locf, number_to_static_string (len));","logprintf (LOG_VERBOSE, _(""%s (%s) - %s saved [%s]\n\n""),
                   tms, tmrate, quote (locf), number_to_static_string (len));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1120.cpp,,,data/crawl/wget/old_hunk_1120.cpp,data/crawl/wget/new_hunk_1120.cpp,3,3,"logprintf (LOG_VERBOSE, _(""Removed `%s'.\n""), lf);","logprintf (LOG_VERBOSE, _(""Removed %s.\n""), quote (lf));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1128.cpp,,,data/crawl/wget/old_hunk_1128.cpp,data/crawl/wget/new_hunk_1128.cpp,2,2,"logprintf (LOG_NOTQUIET,
                                 _(""Wrote HTML-ized index to `%s' [%s].\n""),
                                 filename, number_to_static_string (sz));","logprintf (LOG_NOTQUIET,
                                 _(""Wrote HTML-ized index to %s [%s].\n""),
                                 quote (filename), number_to_static_string (sz));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1128.cpp,,,data/crawl/wget/old_hunk_1128.cpp,data/crawl/wget/new_hunk_1128.cpp,7,7,"logprintf (LOG_NOTQUIET,
                               _(""Wrote HTML-ized index to `%s'.\n""),
                               filename);","logprintf (LOG_NOTQUIET,
                               _(""Wrote HTML-ized index to %s.\n""),
                               quote (filename));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=2e2ac6ad2fc90eaf46ae5fee0bc4f61dd97b4284,14 Apr 2008,"Import ""quote"" module from gnulib; update the rest.
",4490,data/crawl/wget/hunk_1129.cpp,,,data/crawl/wget/old_hunk_1129.cpp,data/crawl/wget/new_hunk_1129.cpp,2,2,"logprintf (LOG_NOTQUIET,
                 _(""%s: unable to resolve bind address `%s'; disabling bind.\n""),
                 exec_name, opt.bind_address);","logprintf (LOG_NOTQUIET,
                 _(""%s: unable to resolve bind address %s; disabling bind.\n""),
                 exec_name, quote (opt.bind_address));","[""updateContent"", ""addVariable""]","[[], [""quote""]]",[-453826349353749559],1535
