url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_log_locs,new_log_locs
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=375bfa98dc2c6cdba3993018283671556094bb93,1 Mar 2018,"* src/url.c (convert_fname): Fix invalid free on iconv_open() failure

Reported-by: Volkmar Klatt",104,data/crawl/wget/hunk_0.cpp,,,data/crawl/wget/old_hunk_0.cpp,data/crawl/wget/new_hunk_0.cpp,"[3, 30, 33, 48]","[4, 33, 36, 51]"
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=9887b870d197f2c768275185bdb38e64754bcfed,8 Feb 2018,"Use gnulib's utime()

* bootstrap.conf: Add modules utime and utime-h
* src/utils.c (touch): Remove own code for gnulib's utime()",33,data/crawl/wget/hunk_1.cpp,,,data/crawl/wget/old_hunk_1.cpp,data/crawl/wget/new_hunk_1.cpp,"[15, 23, 33]",[9]
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=b543dfe7832ff342907b9ee71aeea4bc1849fb26,24 Jul 2017,"Add --compression option

* doc/wget.texi: Add --compression documentation.
* src/init.c (cmd_spec_compression): New function.
(commands[]): Add opt.compression.
(defaults): Set default opt.compression value.
* src/main.c (option_data[]): Add struct for --compression.
(print_help, help[]): Add description for --compression.
(main): Add incompatibility checks for --compression.
* src/options.h (struct options): Add compression enum and field.",83,data/crawl/wget/hunk_2.cpp,,,data/crawl/wget/old_hunk_2.cpp,data/crawl/wget/new_hunk_2.cpp,[],[15]
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=b543dfe7832ff342907b9ee71aeea4bc1849fb26,24 Jul 2017,"Add --compression option

* doc/wget.texi: Add --compression documentation.
* src/init.c (cmd_spec_compression): New function.
(commands[]): Add opt.compression.
(defaults): Set default opt.compression value.
* src/main.c (option_data[]): Add struct for --compression.
(print_help, help[]): Add description for --compression.
(main): Add incompatibility checks for --compression.
* src/options.h (struct options): Add compression enum and field.",83,data/crawl/wget/hunk_3.cpp,,,data/crawl/wget/old_hunk_3.cpp,data/crawl/wget/new_hunk_3.cpp,[5],"[14, 25]"
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=21154bdc36f1474aaf26323d8de47aa3fe340d03,13 Jun 2017,"Check for 304 response before applying --adjust-extension

* src/http.c (gethttp): Move 304 code before --adjust-extension code

This fixes applying --adjust-extension in combination with 304
HTTP responses. It could lead to .html extensions to arbitrary
files.

Reported-by: anfractuosity",26,data/crawl/wget/hunk_4.cpp,,,data/crawl/wget/old_hunk_4.cpp,data/crawl/wget/new_hunk_4.cpp,[],[7]
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=21154bdc36f1474aaf26323d8de47aa3fe340d03,13 Jun 2017,"Check for 304 response before applying --adjust-extension

* src/http.c (gethttp): Move 304 code before --adjust-extension code

This fixes applying --adjust-extension in combination with 304
HTTP responses. It could lead to .html extensions to arbitrary
files.

Reported-by: anfractuosity",26,data/crawl/wget/hunk_5.cpp,,,data/crawl/wget/old_hunk_5.cpp,data/crawl/wget/new_hunk_5.cpp,[5],[]
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=ae293c945a474b5f06844f6ec4debcfb5fa9116f,13 Jun 2017,"Fix buffer overflow in Public Key Pinning

* src/utils.c (wget_base64_decode): Add param for destination size,
  (wg_pubkey_pem_to_der): Amend call to wget_base64_decode(),
  (wg_pin_peer_pubkey): Likewise and fix code style.
* src/utils.h: Add param to wget_base64_decode()
* src/http-ntlm.c (ntlm_input): Amend call to wget_base64_decode()
* src/http.c (skip_content_type): Likewise

Fixes #51227",150,data/crawl/wget/hunk_6.cpp,,,data/crawl/wget/old_hunk_6.cpp,data/crawl/wget/new_hunk_6.cpp,[],[40]
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=936efc356426fc8b6a89fbc07fac02dc31e6cbd0,11 May 2017,"* src/iri.c (idn_encode): Better IDNA 2003 compatibility
",13,data/crawl/wget/hunk_7.cpp,,,data/crawl/wget/old_hunk_7.cpp,data/crawl/wget/new_hunk_7.cpp,[5],[9]
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=f6376ac0dc5ed5cec6f5261e7314e457de16d867,21 Apr 2017,"Added new tests for SSL

* tests/Test-https-badcerts.px : New file
* tests/Test-https-clientcert.px : New file
* tests/Test-https-crl.px : New file
* tests/Test-https-weboftrust.px : New file
* tests/certs/interca.conf : New file
* tests/certs/rootca.conf : New file
* tests/certs/test-ca-key.pem : New file

Added all new SSL / HTTPS tests to make check
Added Test for SSL Web of Trust, accept only if CA chain of trust is intact.
Added a test script for client certificate
Added Test for crlfile option of wget
Added test to make sure that wget doesn't accept expired or invalid certs

Some clean up : Removed cause of warnings from perl & other cosmetic changes",813,data/crawl/wget/hunk_8.cpp,,,data/crawl/wget/old_hunk_8.cpp,data/crawl/wget/new_hunk_8.cpp,[],[96]
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=ac519c041e49bc0e35901a783685bb4068d1fdbd,15 Mar 2017,"Added new tests for SSL

* tests/SSLServer.pm: New file
* tests/SSLTest.pm: New file
* tests/Test-https-pfs.px: New file
* tests/Test-https-selfsigned.px: New file
* tests/Test-https-tlsv1.px: New file
* tests/Test-https-tlsv1x.px: New file
* tests/certs/server.crt: New file
* tests/certs/server.key: New file
* tests/certs/test-ca-cert.pem: New file

Added 4 new test scripts all for SSL.
Added base pm for SSL testing.
Added SSL tests for TLSv1, TLSv1_1 and PFS.
Added test for self signed cert : check that it fails without
--no-check-certificate and passes with that flag.",612,data/crawl/wget/hunk_9.cpp,,,data/crawl/wget/old_hunk_9.cpp,data/crawl/wget/new_hunk_9.cpp,[],[45]
http://git.savannah.gnu.org/cgit/wget.git/commit/?id=92bfe2a2e44184f62d4093ac51fb8cf5d951a1d5,16 Apr 2017,"Fix charset transcoding issue for non-reversible codepoints

* src/url.c: Check iconv() against 0, not -1

On some libiconv implementations, unknown codepoints become
encoded as ?, e.g. when converting a non-ascii codepoint to ASCII.
This results in ambigious file names which also fails our tests.",87,data/crawl/wget/hunk_10.cpp,,,data/crawl/wget/old_hunk_10.cpp,data/crawl/wget/new_hunk_10.cpp,[4],[4]
